line,state,date
590656109442,blocked by customer,8/16/19 1:23 PM
590656109442,activated,2/12/18 2:38 AM
590656109442,activated,2/12/18 2:38 AM
590656109442,activated,4/2/18 2:08 AM
590656109442,activated,1/12/18 1:32 PM
590656109442,blocked by customer,9/13/19 2:32 PM
590656109442,activated,6/4/18 1:42 AM
590656109441,blocked by customer,9/23/19 12:26 PM
590656109441,activated,1/31/18 8:38 AM
590656109441,activated,2/12/18 2:37 AM
590656109441,blocked by customer,9/6/19 9:26 AM
590656109441,blocked by customer,10/2/19 1:56 PM
590656109441,activated,7/3/18 10:01 AM
590656109441,activated,11/27/17 9:32 AM
590656109441,blocked by customer,6/25/19 9:44 AM
590656109440,activated,1/25/18 10:01 AM
590656109440,blocked by customer,9/4/19 2:23 PM
590656109440,blocked by customer,8/30/19 8:17 AM
590656109440,blocked by customer,8/2/19 1:06 PM
590656109440,blocked by customer,4/2/19 2:12 PM
590656109440,activated,4/1/19 12:39 AM
590656109440,blocked by customer,8/28/19 4:25 PM
590656109440,activated,2/12/18 2:39 AM
590656109439,activated,2/12/18 2:39 AM
590656109439,activated,11/27/17 9:40 AM
590656109439,activated,11/27/17 9:42 AM
590656109357,activated,11/27/17 9:40 AM
590656109356,activated,2/14/18 2:38 AM
590656109356,activated,4/14/18 2:02 AM
590656109356,blocked by customer,8/16/19 8:41 AM
590656109356,activated,2/14/18 2:37 AM
590656109356,activated,2/12/18 2:38 AM
590656109356,activated,12/31/18 2:38 AM
590656109356,activated,2/12/18 2:38 AM
590656109356,activated,2/12/18 2:37 AM
590656109356,activated,12/15/17 11:13 AM
590656109355,activated,11/27/17 9:16 AM
590656109355,activated,11/27/17 9:30 AM
590656109355,activated,1/25/18 9:59 AM
590656109355,activated,4/9/18 10:22 AM
590656109355,activated,2/18/19 1:19 PM
590656109355,activated,3/5/18 4:36 PM
590656109355,activated,1/25/18 9:38 AM
590656109355,activated,5/15/19 3:49 PM
590656109355,activated,11/27/17 9:21 AM
590656109355,blocked by customer,10/18/19 1:24 PM
590656109354,activated,2/12/18 2:37 AM
590656109354,blocked by customer,4/2/19 2:16 PM
590656109354,activated,11/27/17 9:20 AM
590656109354,blocked by customer,4/2/19 2:16 PM
590656109354,blocked by customer,7/8/19 11:16 AM
590656109354,activated,1/25/18 9:33 AM
590656109354,activated,11/27/17 9:36 AM
590656109354,blocked by customer,6/25/19 9:37 AM
590656109354,activated,1/31/18 7:48 PM
590656109354,activated,11/27/17 9:47 AM
590656109353,activated,11/30/17 6:43 PM
590656109353,activated,1/12/18 1:33 PM
590656109353,blocked by customer,4/2/19 2:15 PM
590656109353,activated,4/15/18 1:42 AM
590656109353,activated,4/25/19 10:06 AM
590656109353,activated,2/27/18 6:21 PM
590656109353,blocked by customer,9/9/19 12:16 PM
590656109353,blocked by customer,4/2/19 2:15 PM
590656109353,blocked by customer,8/12/19 8:46 AM
590656109353,blocked by customer,8/30/19 8:17 AM
590656109352,blocked by customer,11/21/19 3:32 AM
590656109352,blocked by customer,10/18/19 1:23 PM
590656109352,activated,6/28/19 11:37 AM
590656109352,activated,1/25/18 10:05 AM
590656109352,activated,12/15/17 11:14 AM
590656109352,activated,9/16/19 4:04 PM
590656109352,activated,6/27/18 12:07 PM
590656109352,activated,2/14/18 2:38 AM
590656109351,activated,1/25/18 9:44 AM
590656109351,activated,7/22/18 9:11 PM
590656109269,activated,11/3/17 9:41 AM
590656109268,activated,11/27/17 9:15 AM
590656109268,activated,4/16/18 1:43 AM
590656109268,activated,1/19/18 9:47 AM
590656109268,activated,1/25/18 9:40 AM
590656109268,activated,12/18/17 5:02 PM
590656109268,activated,11/27/17 9:22 AM
590656109268,activated,4/18/18 1:40 AM
590656109268,blocked by customer,8/2/19 1:06 PM
590656109267,activated,2/14/18 2:37 AM
590656109267,blocked by customer,9/17/19 12:08 PM
590656109267,blocked by customer,8/30/19 8:49 AM
590656109267,activated,6/25/19 4:37 PM
590656109267,blocked by customer,11/25/19 9:06 AM
590656109267,blocked by customer,4/2/19 2:14 PM
590656109267,activated,11/27/17 9:24 AM
590656109267,activated,5/22/18 1:39 AM
590656109267,activated,3/6/18 4:37 PM
590656109267,activated,11/27/17 9:30 AM
590656109266,blocked by customer,6/18/19 8:10 AM
590656109266,activated,10/20/18 6:25 PM
590656109266,activated,11/27/17 9:22 AM
590656109266,activated,12/15/17 1:59 PM
590656109266,activated,12/21/17 9:19 AM
590656109266,activated,12/15/17 1:59 PM
590656109266,activated,11/10/17 7:09 PM
590656109266,activated,10/19/18 10:00 AM
590656109266,activated,11/27/17 9:20 AM
590656109265,blocked by customer,8/16/19 1:22 PM
590656109266,activated,1/25/18 9:51 AM
590656109265,activated,4/13/18 4:28 PM
590656109265,blocked by customer,4/2/19 2:23 PM
590656109265,activated,11/27/17 9:16 AM
590656109265,activated,12/20/18 2:31 AM
590656109265,activated,11/27/17 9:44 AM
590656109265,activated,1/13/19 9:48 PM
590656109265,activated,12/31/18 2:42 AM
590656109265,suspended,9/10/19 4:15 PM
590656109265,blocked by customer,10/18/19 1:25 PM
590656109264,activated,2/5/19 6:40 PM
590656109264,activated,1/10/18 5:16 PM
590656109264,blocked by customer,4/2/19 2:25 PM
590656109264,activated,1/12/18 8:44 AM
590656109264,blocked by customer,4/2/19 10:54 AM
590656109264,blocked by customer,4/3/19 7:43 AM
590656109264,activated,11/24/17 8:47 AM
590656109264,blocked by customer,8/30/19 8:18 AM
590656109264,blocked by customer,10/18/19 1:26 PM
590656109263,activated,11/27/17 9:30 AM
590656109263,activated,11/27/17 9:23 AM
590656109263,activated,1/8/18 3:39 PM
590656109263,activated,11/23/17 5:09 AM
590656109181,activated,3/28/19 3:32 PM
590656109180,activated,11/27/17 9:29 AM
590656109180,activated,11/27/17 9:17 AM
590656109180,blocked by customer,4/3/19 7:42 AM
590656109180,activated,10/30/18 4:13 PM
590656109180,activated,11/23/17 10:40 AM
590656109180,activated,11/27/17 9:13 AM
590656109180,activated,11/27/17 9:21 AM
590656109180,blocked by customer,4/2/19 1:52 PM
590656109180,activated,1/10/18 3:22 PM
590656109180,activated,11/27/17 9:29 AM
590656109179,blocked by customer,9/9/19 12:16 PM
590656109179,activated,11/27/17 9:08 AM
590656109179,activated,1/25/18 9:44 AM
590656109179,activated,1/25/18 10:04 AM
590656109179,activated,3/2/18 5:15 PM
590656109179,blocked by customer,4/2/19 2:23 PM
590656109179,activated,11/14/17 6:24 PM
590656109179,activated,12/15/17 1:59 PM
590656109178,activated,12/15/17 11:13 AM
590656109178,blocked by customer,9/10/19 11:04 AM
590656109178,activated,11/27/17 9:40 AM
590656109178,activated,1/25/18 10:04 AM
590656109178,activated,11/27/17 9:17 AM
590656109178,activated,12/21/17 9:20 AM
590656109178,blocked by customer,4/2/19 2:24 PM
590656109178,activated,12/15/17 11:12 AM
590656109178,blocked by customer,8/23/19 9:26 AM
590656109178,activated,11/27/17 9:28 AM
590656109177,activated,11/27/17 9:23 AM
590656109177,activated,4/14/18 2:02 AM
590656109177,activated,11/18/17 11:09 AM
590656109177,activated,1/16/18 4:13 PM
590656109177,activated,1/25/18 9:31 AM
590656109177,blocked by customer,8/30/19 8:26 AM
590656109177,blocked by customer,8/23/19 9:26 AM
590656109177,activated,11/27/17 9:09 AM
590656109177,activated,10/31/17 6:57 PM
590656109177,activated,11/18/17 11:08 AM
590656109176,activated,11/14/17 5:28 PM
590656109176,blocked by customer,4/2/19 2:25 PM
590656109176,activated,11/27/17 9:30 AM
590656109176,activated,12/15/17 11:13 AM
590656109176,activated,11/6/17 9:37 AM
590656109176,activated,11/9/17 6:26 PM
590656109176,activated,1/8/18 3:39 PM
590656109176,activated,11/25/17 4:30 PM
590656109176,activated,4/15/19 1:30 AM
590656109176,suspended,9/10/19 4:54 PM
590656109175,activated,7/1/19 5:15 PM
590656109175,blocked by customer,8/13/19 7:59 AM
590656109175,blocked by customer,8/2/19 1:03 PM
590656109093,activated,4/3/18 2:06 AM
590656109092,activated,7/19/17 10:29 AM
590656109092,activated,4/10/18 1:53 AM
590656109092,activated,7/31/18 1:44 AM
590656109092,activated,11/27/17 9:27 AM
590656109092,activated,2/12/18 2:40 AM
590656109092,activated,8/6/18 9:21 PM
590656109092,activated,4/3/18 2:08 AM
590656109092,blocked by customer,9/9/19 12:15 PM
590656109092,activated,12/27/18 2:32 AM
590656109091,activated,1/8/18 3:41 PM
590656109091,activated,11/27/17 9:13 AM
590656109091,activated,1/12/18 4:36 PM
590656109091,activated,1/25/18 9:30 AM
590656109091,activated,11/15/17 6:31 PM
590656109091,activated,2/13/18 2:36 AM
590656109091,activated,1/25/18 12:58 PM
590656109091,activated,4/10/18 3:48 PM
590656109091,activated,1/12/18 4:35 PM
